name,number,description,category
Shapel Collection,1131-24S,"",dining
Shapel Collection,1133-24S,"",dining
Edmond Collection,1140E-24S,"",dining
Edmond Collection,1144E-24S,"",dining
Ride Collection,1145BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Ride Collection,1147BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Ride Collection,1148BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Ride Collection,1149BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Ride Collection,1155BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Ride Collection,1156BLK,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
Ride Collection,1157BRW,"A fun and unique way to add a little color to your casual recreation or dining room is the Ride Collection. Offered in a variety of contemporary colors, shapes and sizes, each barstool features a gas lift mechanism that allows for the stool to rise and descend with the simple touch of a lever. Sold in two-piece per carton.",dining
