number,description,dimensions,product_number
1131-24S,Swivel Counter Height Chair,18 x 19 x 38H,1131-24S
1131-29S,Swivel Pub Chair,18 x 19 x 43H,1131-24S
1133-24S,Swivel Counter Height Chair,19 x 20 x 38H,1133-24S
1133-29S,Swivel Pub Chair,19 x 20 x 43H,1133-24S
1140E-24S,Swivel Counter Height Chair,18 x 19 x 38H,1140E-24S
1140E-29S,Swivel Pub Chair,18 x 19 x 43H,1140E-24S
1144E-24S,Swivel Counter Height Chair,18 x 19 x 38H,1144E-24S
1144E-29S,Swivel Pub Chair,18 x 19 x 43H,1144E-24S
1145BLK,Black Airlift Swivel Stool,17.5 x 15.25 x 26 - 34H,1145BLK
1145RED,Red Airlift Swivel Stool,17.5 x 15.25 x 26 - 34H,1145BLK
1145WHT,White Airlift Swivel Stool,17.5 x 15.25 x 26 - 34H,1145BLK
1147BLK,Black Airlift Swivel Stool,18.5 x 18.5 x 31 - 38H,1147BLK
1147RED,Red Airlift Swivel Stool,18.5 x 18.5 x 31 - 38H,1147BLK
1147WHT,White Airlift Swivel Stool,18.5 x 18.5 x 31 - 38H,1147BLK
1148BLK,Black Airlift Swivel Stool,17.5 x 20.5 x 37.5 - 46.5H,1148BLK
1148RED,Red Airlift Swivel Stool,17.5 x 20.5 x 37.5 - 46.5H,1148BLK
1148WHT,White Airlift Swivel Stool,17.5 x 20.5 x 37.5 - 46.5H,1148BLK
1149BLK,Black Airlift Swivel Stool,20.5 x 20 x 30 - 41.75H,1149BLK
1149RED,Red Airlift Swivel Stool,20.5 x 20 x 30 - 41.75H,1149BLK
1149WHT,White Airlift Swivel Stool,20.5 x 20 x 30 - 41.75H,1149BLK
1155BLK,Black Airlift Swivel Stool,21.5 x 19 x 32.5 - 41H,1155BLK
1155RED,Red Airlift Swivel Stool,21.5 x 19 x 32.5 - 41H,1155BLK
1155WHT,White Airlift Swivel Stool,21.5 x 19 x 32.5 - 41H,1155BLK
1156BLK,Black Airlift Swivel Stool,18 x 19 x 31.5 - 40H,1156BLK
1156RED,Red Airlift Swivel Stool,18 x 19 x 31.5 - 40H,1156BLK
1156WHT,White Airlift Swivel Stool,18 x 19 x 31.5 - 40H,1156BLK
