Model,Status,Additional_Description
1000A70AQ,IN,
1000A70BK,IN,
1000A70WH,IN,
1001A70GB,IN,
1002A70BK,IN,
1002A70GY,IN,
1002A70WH,IN,
101N,DS,
102,DS,
103,DS,
104,DS,
106QF,DS,
108,DS,
109,DS,
1107BLK,DS,TBDS
1111GY-1,IN,
1111NV-1,IN,
1112-1,IN,
1114DG-1,IN,
1114GY-1,IN,
1118GY-1,IN,
1127BU-1,IN,
1127GY-1,IN,
1131-24S,IN,
1131-29S,IN,
1132-29S,DS,TBDS
1133-24S,IN,
1133-29S,IN,
1134-29S,DS,
1135BRG-1,IN,
1135BRG-4,IN,
1135DBU-1,IN,
1135DBU-4,IN,
1136-24S,DS,TBDS
1136-29S,DS,TBDS
1138BR-1,IN,
1138BU-1,IN,
1138DG-1,IN,
1138GY-1,IN,
1138RN-1,IN,
1140E-24S,IN,
1140E-29S,IN,
1144E-24S,IN,
1144E-29S,IN,
1145BLK,DS,
1145RED,DS,
1146RED,DS,TBDS
1147BLK,IN,TBDS
1147RED,DS,
1147WHT,DS,
1148BLK,DS,
1148RED,IN,TBDS
1148WHT,IN,TBDS
1149BLK,DS,
1149RED,IN,TBDS
1149WHT,IN,TBDS
1153BLK,DS,
1153WHT,DS,
1155BLK,IN,TBDS
1155RED,DS,
1155WHT,DS,
1156BLK,IN,TBDS
1156RED,IN,TBDS
1156WHT,IN,TBDS
1157BRW,IN,TBDS
1157RED,DS,
1162BR-5,IN,
1162GY-5,IN,
1166GR-1,IN,
1166GY-1,IN,
1166RD-1,IN,
1166RN-1,IN,
1166YW-1,IN,
1167BE-1,IN,
1167BU-1,IN,
1167F1S,DS,
1167GY-1,IN,
1178BLK,DS,
1178RED,DS,
1178WHT,DS,
1180BLU,DS,TBDS
1185BE-1,IN,
1185BR-1,IN,
1185BU-1,IN,
1185DG-1,IN,
1188BK-24,IN,
1188DB-24,IN,
1188RD-24,IN,
1189BLK-1,DS,
1189BRW-1,DS,
1189BUE-1,DS,
1190BU-1,IN,
1190GY-1,IN,
1191F1S,IN,TBDS
1191F2S,IN,TBDS
1191F3S,IN,TBDS
1191F4S,IN,TBDS
1191F5S,IN,TBDS
1191F6S,IN,TBDS
1192BE,IN,
1192BL,IN,
1192GY,IN,
1192RN,IN,
1193F1S,IN,TBDS
1193F2S,IN,
1193F3S,DS,
1193F4S,DS,
1193F5S,IN,TBDS
1193F6S,IN,TBDS
1193F7S,IN,TBDS
1194BLK,DS,
1194CH,IN,
1194F1S,DS,
1194F2S,DS,
1194IN,IN,
1194TL,IN,
1194TP,IN,
1195F1S,DS,
1196F2S,DS,
1197F1S,DS,
1197F2S,DS,
1200BLK,DS,
1200BRW,DS,
1205-04,DS,
1205-30,DS,
1205-48,DS,
1205-48*5PUS,DS,
1205-50,DS,
1205-50*,DS,
1205-55,DS,
1205E-1,DS,
1205E-4,DS,
1205E-5,DS,
1205E-6,DS,
1205E-9,DS,
1205KE-1,DS,
1210-1,DS,
1212F1S,IN,
1212F2S,IN,TBDS
1212F3S,DS,
1212F4S,DS,TBDS
1212F5S,DS,
1212F6S,DS,
1215BRS,DS,
1215CRS,DS,
1215GRS,DS,
1215RDS,DS,
1216F1S,DS,
1217F1S,DS,
1217F2S,DS,
1217F3S,IN,
1218*2,IN,
1218*3,IN,
1218DG-1,IN,
1218DG-2,IN,
1218DG*2,IN,
1218DG-3,IN,
1218DG*3,IN,
1218F1S,IN,
1218F1S-2,IN,
1218F1S-3,IN,
1218RN-1,IN,
1218RN-2,IN,
1218RN*2,IN,
1218RN-3,IN,
1218RN*3,IN,
1218TL-1,IN,
1218TL-2,IN,
1218TL*2,IN,
1218TL-3,IN,
1218TL*3,IN,
1219BU-1,IN,
1219BU-2,IN,
1219BU*2,IN,
1219BU-3,IN,
1219BU*3,IN,
1219CH-1,IN,
1219CH-2,IN,
1219CH*2,IN,
1219CH-3,IN,
1219CH*3,IN,
1219GY-1,IN,
1219GY-2,IN,
1219GY*2,IN,
1219GY-3,IN,
1219GY*3,IN,
1220F1S,IN,
1220F2S,IN,
1220F3S,IN,
1221-1,IN,TBDS
1222F1S,DS,
1224F1S,IN,TBDS
1224F2S,IN,TBDS
1224F4S,IN,TBDS
1225-1,IN,TBDS
1226WT*,DS,
1226WT-1,DS,
1226WT-4,DS,
1233GY,DS,
1233MD,DS,
1233RN,DS,
1233TL,DS,
1234-1,IN,
1234-4,IN,
1235BR,DS,
1235CH,DS,
1239CMT-1,DS,
1239TPE-1,DS,TBDS
1240BGD-1,DS,
1240BGD-1GD,DS,
1240BRW-1,DS,
1240BRW-1GD,DS,
1240DTR-1,DS,
1240DTR-1GD,DS,
1242-1,IN,
1243-1,IN,
1244BGD,DS,
1245F1S,DS,
1245F2S,DS,TBDS
1249F1S,IN,TBDS
1255F1S,IN,
1257F1S,DS,
1260F1S,DS,
1260F2S,DS,
1266F1S,IN,
1267GY,DS,
1268F1S,DS,
1269BK,DS,
1270F1S,DS,
1270F2S,DS,
1270F3S,DS,
1277F1S,DS,
1277F2S,DS,
1278F1S,DS,
1279F1S,DS,
1279F2S,DS,
1279F3S,DS,
1280BE,DS,
1280BL,DS,
1280GY,DS,
1281BEG-2,IN,
1281BRW-2,IN,
1281BUE-2,IN,
1281RED-2,DS,
1281TEL-2,IN,
1282GY-1,IN,TBDS
1288-301,IN,
1288-305,IN,
1288-307,IN,TBDS
1292-1,DS,
1294BR-1,IN,
1294GY-1,IN,TBDS
1296F1S,IN,
1296F2S,IN,
1297BU-1,IN,
1297GY-1,IN,
1297GY-1NN,IN,
1297NV-1NN,IN,
1303-24S,DS,TBDS
1306-29,DS,
1309,DS,
1313-1,DS,
1313-11,DS,
1313-1*5,DS,
1313-2,DS,
1313-3,DS,
1313-4,DS,
1313-5,DS,
1313-6,DS,
1313-9,DS,
1313K-1CK,DS,
1313K-1CK*,DS,
1313K-1EK,DS,
1313K-1EK*,DS,
1313K-2CK,DS,
1313K-2EK,DS,
1313K-3CK,DS,
1313K-3EK,DS,
1313KW-1CK,DS,
1313KW-2CK,DS,
1313KW-3EK,DS,
1313W-2,DS,
1313W-3,DS,
1313W-4,DS,
1313W-6,DS,
1313W-9,DS,
1330-102,DS,
1330-40,DS,
1330-50,DS,
1330-55,DS,
1330A,DS,
1330S,DS,
1332-13,DS,
1332-40,DS,
1332-94,DS,
1332A,DS,
1332S,DS,
1341K-3EK,DS,
1342-3,DS,
1342-4,DS,
1342-5,DS,
1342-6,DS,
1342-9,DS,
1342F-1,DS,
1342PUK-1CK,DS,TBDS
1345-9,DS,
1346-3,IN,TBDS
1346F-2,IN,TBDS
1347-4,DS,
1347C-2,DS,
1347C-3,DS,
1347C-9,DS,
1347F-1,DS,
1347F-2,DS,
1347K-2CK,DS,
1347K-3CK,DS,
1347KC-3EK,DS,
1347PNKC-1EK,DS,
1348-1,DS,
1348-11,DS,
1348-15,DS,
1348-15C,DS,
1348-3,DS,
1348-4,DS,
1348-6,DS,
1348-9,DS,
1348DC-11,DS,
1348DC-1*4,DS,
1348DC-15,DS,
1348DC-1*5,DS,
1348DC-15C,DS,
1348DC-1*9,DS,
1348DC-1HB,DS,
1348DC-2,DS,TBDS
1348DC-3,DS,TBDS
1348DC-4,DS,
1348DC-5,DS,
1348DC-6,DS,
1348FDC-1,DS,
1348FDC-1*,DS,
1348FDC-2,DS,TBDS
1348FDC-3,DS,
1348K-3EK,DS,
1348KDC-1EK,DS,
1348KDC-1EK*,DS,
1348KDC-2CK,DS,TBDS
1348KDC-2EK,DS,
1348KDC-3CK,DS,TBDS
1348KDC-3EK,DS,
1348PR-1,DS,
1348PRDC-1,DS,
1348PRDC-2,DS,
1348PRDC-R*,DS,
1348PRDC-T,DS,
1348PRDC-T*,DS,
1348PRF-1,DS,
1348PRFDC-2,DS,
1348PRF-T*,DS,
1348PR-R,DS,TBDS
1348PR-R*,DS,
1348PR-T,DS,
1348PR-T*,DS,
1348T-2,DS,
1348TDC-1,DS,
1348TDC-1*,DS,
1348TDC-3,DS,
1349-1,DS,
1349-1*,DS,TBDS
1349-1*4,DS,TBDS
1349-1*5,DS,TBDS
1349-1*9,DS,TBDS
1349-2,IN,TBDS
1349-3,IN,TBDS
1349-4,DS,
1349-5,DS,
1349-6,DS,
1349-9,DS,
1349F-1,DS,
1349F-1*,DS,TBDS
1349F-2,IN,TBDS
1349F-3,IN,TBDS
1349K-1CK,DS,
1349K-1CK*,DS,
1349K-1CK*9,DS,
1349K-1EK,DS,
1349K-1EK*,DS,TBDS
1349K-1EK*5,DS,TBDS
1349K-1EK*9,DS,TBDS
1349K-2CK,DS,
1349K-2EK,DS,
1349K-3CK,DS,
1349K-3EK,DS,
1349T-1,IN,TBDS
1349T-1*,IN,TBDS
1349T-1*4,DS,TBDS
1349T-1*5,DS,TBDS
1349T-1*9,DS,TBDS
1349T-2,IN,TBDS
1349T-3,IN,TBDS
134HK-1,DS,
1353-2,DS,
1353-3,DS,
1353-4,DS,
1353-5,DS,
1353-6,DS,
1353-9,DS,
1353F-1,DS,
1353F-2,DS,
1353F-3,DS,
1353K-1EK,DS,
1353K-2EK,DS,
1353K-3CK,DS,
1353K-3EK,DS,
1353T-1,DS,
1353T-2,DS,
1353T-3,DS,
1354-1,DS,
1355S,DS,
1356,DS,
1356BK-1,DS,
1356BK-1*,DS,
1356BK-1*4,DS,
1356BK-15,DS,
1356BK-1*5,DS,
1356BK-1*9,DS,
1356BK-1HB,DS,
1356BK-2,DS,
1356BK-3,DS,
1356BK-4,DS,
1356BK-5,DS,
1356BK-6,DS,
1356BK-9,DS,
1356C-1,DS,
1356C-1*,DS,TBDS
1356C-1*4,DS,TBDS
1356C-1*9,DS,TBDS
1356C-2,DS,
1356C-3,DS,
1356C-4,DS,TBDS
1356C-5,DS,TBDS
1356C-6,IN,TBDS
1356C-9,DS,TBDS
1356FBK-1,DS,
1356FBK-1*,DS,
1356FBK-2,DS,
1356FBK-3,DS,
1356FC-1,DS,
1356FC-1*,DS,
1356FC-2,DS,
1356FC-3,DS,
1356FPRBK-1,DS,TBDS
1356FPRBK-2,DS,TBDS
1356FPRBK-3,DS,TBDS
1356FPRBK-R*,DS,TBDS
1356FPRBK-T*,DS,TBDS
1356FPRW-1,DS,
1356FPRW-2,DS,
1356FPRW-3,DS,
1356FPRW-R*,DS,
1356FPRW-T*,DS,
1356FW-1,DS,
1356FW-1*,DS,
1356FW-2,DS,
1356FW-3,DS,
1356KBK-1CK,DS,
1356KBK-1CK*,DS,
1356KBK-1EK,DS,
1356KBK-1EK*,DS,
1356KBK-2CK,DS,
1356KBK-2EK,DS,
1356KBK-3CK,DS,
1356KBK-3EK,DS,
1356KC-1CK,DS,
1356KC-1CK*,DS,
1356KC-2CK,DS,
1356KC-3CK,DS,
1356KW-1CK,DS,
1356KW-1CK*,DS,
1356KW-1EK,DS,
1356KW-1EK*,DS,
1356KW-2CK,DS,
1356KW-2EK,DS,
1356KW-3CK,DS,
1356KW-3EK,DS,
1356PRBK-R,IN,
1356PRBK-T,DS,
1356PRW-R,DS,TBDS
1356PRW-T,DS,
1356TBK-1,DS,
1356TBK-1*,DS,
1356TBK-1*4,DS,
1356TBK-1*5,DS,
1356TBK-1*9,DS,
1356TBK-1HB,DS,
1356TBK-2,DS,
1356TBK-3,DS,
1356TC-1,DS,
1356TC-1*,DS,
1356TC-1*4,DS,
1356TC-1*5,DS,
1356TC-1*9,DS,
1356TC-2,DS,
1356TC-3,DS,
1356TPRBK-1,IN,
1356TPRBK-1*,IN,
1356TPRBK-2,IN,
1356TPRBK-3,IN,
1356TPRBK-R*,DS,
1356TPRBK-T*,DS,TBDS
1356TPRW-1,DS,
1356TPRW-2,DS,
1356TPRW-3,DS,
1356TPRW-R*,DS,TBDS
1356TPRW-T*,DS,TBDS
1356TW-1,DS,
1356TW-1*,DS,
1356TW-1*4,DS,
1356TW-1*5,DS,
1356TW-1*9,DS,
1356TW-2,DS,
1356TW-3,DS,
1356W-1,DS,
1356W-1*,DS,
1356W-15,DS,
1356W-1*5,DS,
1356W-1*9,DS,
1356W-1HB,DS,
1356W-2,DS,
1356W-3,DS,
1356W-4,DS,
1356W-5,DS,
1356W-6,DS,
1356W-9,DS,
1357-5,DS,
1357K-1EK,DS,
1372-24,IN,
1372-36,IN,
1372-36*5,IN,
1372-40,IN,
1372-78,IN,
1372-78*5,IN,
1372S,IN,
1377-40,DS,
1379-36,DS,
1379S,IN,TBDS
1385-1,IN,TBDS
1385-1*,IN,TBDS
1385-11,DS,
1385-1*4,IN,TBDS
1385-1*5,IN,TBDS
1385-1*9,IN,TBDS
1385-2,IN,TBDS
1385-3,IN,TBDS
1385-4,IN,TBDS
1385-5,IN,TBDS
1385-6,IN,TBDS
1385-7,DS,
1385-7*,DS,TBDS
1385-8,IN,TBDS
1385-9,IN,TBDS
1385F-1,DS,
1385F-1*,DS,TBDS
1385F-2,DS,
1385F-3,DS,
1385K-1,IN,TBDS
1385K-1CK*,IN,TBDS
1385K-1EK*,IN,TBDS
1385K-2,IN,TBDS
1385K-3CK,IN,TBDS
1385K-3EK,IN,TBDS
1386-1,IN,
1386-1*,IN,
1386-10,IN,
1386-10*,IN,
1386-11,IN,
1386-11C,IN,
1386-12,IN,
1386-1*5,IN,
1386-1*9,IN,
1386-2,IN,
1386-3,IN,
1386-4,IN,
1386-5,IN,
1386-6,IN,
1386-7,IN,
1386-9,IN,
1386D,IN,
1386D*,IN,
1386D-1,IN,
1386DNC,DS,
1386DNC*,DS,
1386DNC-1,DS,
1386DNW,IN,
1386DNW*,IN,
1386DNW-1,IN,
1386F-1,IN,
1386F-1*,IN,
1386F-1*4,IN,
1386F-1*5,IN,
1386F-1*9,IN,
1386F-2,IN,
1386F-3,IN,
1386FNC-1,DS,
1386FNC-1*,DS,
1386FNC-2,DS,
1386FNC-3,DS,
1386FNW-1,IN,
1386FNW-1*,IN,
1386FNW-2,IN,
1386FNW-3,IN,
1386FPP-1,IN,
1386FPP-1*,IN,
1386FPP-2,IN,
1386FPP-3,IN,
1386FPP-3CP,IN,
1386FPPNC-1,DS,
1386FPPNC-1*,DS,TBDS
1386FPPNC-2,IN,TBDS
1386FPPNC-3,IN,TBDS
1386FPPNC-3CP,DS,
1386NC-1,IN,
1386NC-1*,IN,
1386NC-10,IN,
1386NC-10*,IN,
1386NC-11,IN,
1386NC-11C,IN,
1386NC-1*4,IN,
1386NC-1*5,IN,
1386NC-1*9,IN,
1386NC-2,IN,
1386NC-3,IN,
1386NC-4,IN,
1386NC-5,IN,
1386NC-6,IN,
1386NC-7,IN,
1386NC-9,IN,
1386NW-1,IN,
1386NW-1*,IN,
1386NW-10,IN,
1386NW-10*,IN,
1386NW-11,IN,
1386NW-11C,IN,
1386NW-12,IN,
1386NW-2,IN,
1386NW-3,IN,
1386NW-4,IN,
1386NW-5,IN,
1386NW-6,IN,
1386NW-7,IN,
1386NW-9,IN,
1386PPNC-R,IN,TBDS
1386PP-R,IN,
1386T-1,IN,
1386T-1*,IN,
1386T-1*4,IN,
1386T-1*5,IN,
1386T-1*9,IN,
1386T-2,IN,
1386T-3,IN,
1386TNC-1,IN,
1386TNC-1*,IN,
1386TNC-1*4,IN,
1386TNC-1*5,IN,
1386TNC-1*9,IN,
1386TNC-2,IN,
1386TNC-3,IN,
1386TNW-1,IN,
1386TNW-1*,IN,
1386TNW-1*3,IN,
1386TNW-1*4,IN,
1386TNW-1*5,IN,
1386TNW-1*9,IN,
1386TNW-2,IN,
1386TNW-3,IN,
1386TPP-1,IN,
1386TPP-1*,IN,
1386TPP-1*4,IN,
1386TPP-1*5,IN,
1386TPP-1*9,IN,
1386TPP-2,IN,
1386TPP-3,IN,
1386TPP-3CP,IN,
1386TPPNC-1,DS,
1386TPPNC-1*,DS,TBDS
1386TPPNC-1*4,DS,TBDS
1386TPPNC-1*5,DS,TBDS
1386TPPNC-1*9,DS,TBDS
1386TPPNC-2,DS,
1386TPPNC-3,DS,
1386TPPNC-3CP,DS,
1390-1,IN,TBDS
1390-1*,IN,TBDS
1390-102,DS,
1390-102*5,DS,TBDS
1390-102*7,DS,TBDS
1390-1*4,DS,TBDS
1390-1*5,DS,TBDS
1390-2,IN,TBDS
1390-3,IN,TBDS
1390-4,DS,
1390-40,DS,
1390-5,DS,TBDS
1390-50,DS,
1390-50*,DS,TBDS
1390-55,DS,
1390-6,DS,TBDS
1390-7,DS,
1390-7*,DS,
1390-76,DS,
1390-76*,DS,TBDS
