name,images,description,number,category,id,sub_categories,product_item_1_number,product_item_1_price,product_item_1_description,product_item_1_dimensions,product_item_2_number,product_item_2_price,product_item_2_description,product_item_2_dimensions,product_item_3_number,product_item_3_price,product_item_3_description,product_item_3_dimensions,product_item_4_number,product_item_4_price,product_item_4_description,product_item_4_dimensions,product_item_5_number,product_item_5_price,product_item_5_description,product_item_5_dimensions,product_item_6_number,product_item_6_price,product_item_6_description,product_item_6_dimensions,product_item_7_number,product_item_7_price,product_item_7_description,product_item_7_dimensions,product_item_8_number,product_item_8_price,product_item_8_description,product_item_8_dimensions,product_item_9_number,product_item_9_price,product_item_9_description,product_item_9_dimensions,product_item_10_number,product_item_10_price,product_item_10_description,product_item_10_dimensions,product_item_11_number,product_item_11_price,product_item_11_description,product_item_11_dimensions
Yarrow Collection,"https://homelegance.com/u/HMLG/20181205/b70efc6f7d574d3eb5f53584d7bbc7de.jpg, https://homelegance.com/u/HMLG/20181205/f7e7b4d858d44360aacd66836a10e2da.jpg, https://homelegance.com/u/HMLG/20181205/c11ff729624c45a682bb26c552477746.jpg, https://homelegance.com/u/HMLG/20181205/03da562a20824e7e9ea91e767e698550.jpg, https://homelegance.com/u/HMLG/20181205/4d6c87b58633432694e7c1435a81c103.jpg","The intersection of vertical lines and curved profile are paired with natural tones creating the refined design of the Yarrow Collection. The solid wood framing and vertical pattern of the chair features wire brush texturing and a gray finish, both contributing a subtly weathered look that plays effortlessly against the contrasting beige fabric seat cushions.",1243-1,seating,,,1243-1,209,Accent Chair,30.75 x 32 x 29H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maypop Collection,"https://homelegance.com/u/HMLG/20180312/f5697f8b2af64477885fafcd119447bd.jpg, https://homelegance.com/u/HMLG/20180312/eaa8c12c368047268ef699ae3af122ed.jpg, https://homelegance.com/u/HMLG/20180312/14a3a3e67c5c4697aa9859070245a4f9.jpg, https://homelegance.com/u/HMLG/20180312/8069ddabb9d44390aac9e44725663b58.jpg, https://homelegance.com/u/HMLG/20180312/7ded3c3d86744e028e56f0748c96b582.jpg","The retro look of the Maypop Collection is just what you’re looking for, adding a hint of whimsy to your home. This dual seat settee plays on the theme of mid-century styling to bring a pop of color as well as functionality within your space. Welting, along with pin-tucked button tufting and contrasting wood legs, lend a tailored look to this accent seat. The collection is offered in beige, brown, blue, and teal.",1281BEG-2,seating,,,1281BEG-2,125,"Settee Love Seat, Beige Fabric",47 x 28.25 x 33.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maypop Collection,"https://homelegance.com/u/HMLG/20180312/9de4fc388c8f4d26bf6c8f78719470c5.jpg, https://homelegance.com/u/HMLG/20180312/fa8350eccddd4538b70898d59af428a0.jpg, https://homelegance.com/u/HMLG/20180312/9f0bfc77ca6d4c88acce93521e43691f.jpg, https://homelegance.com/u/HMLG/20180312/e9aced21ee394f7c9eeb8227ad905ab2.jpg, https://homelegance.com/u/HMLG/20180312/8a28478f1dd3473385115e1e8f7d21b4.jpg","The retro look of the Maypop Collection is just what you’re looking for, adding a hint of whimsy to your home. This dual seat settee plays on the theme of mid-century styling to bring a pop of color as well as functionality within your space. Welting, along with pin-tucked button tufting and contrasting wood legs, lend a tailored look to this accent seat. The collection is offered in beige, brown, blue, and teal.",1281BRW-2,seating,,,1281BRW-2,125,"Settee Love Seat, Brown Fabric",47 x 28.25 x 33.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maypop Collection,"https://homelegance.com/u/HMLG/20180312/00c6d92635f14462952cc74c3dc9230a.jpg, https://homelegance.com/u/HMLG/20180312/5dc4a47f398a493a8c84d2935aaa7f91.jpg, https://homelegance.com/u/HMLG/20180312/bf9bd2fa1c59410997d1f8d2d33f349c.jpg, https://homelegance.com/u/HMLG/20180312/8b7ed394ca6b49f69e347f07eff1a460.jpg, https://homelegance.com/u/HMLG/20180312/c210396a51a6446b850a6e360f6f2bdd.jpg","The retro look of the Maypop Collection is just what you’re looking for, adding a hint of whimsy to your home. This dual seat settee plays on the theme of mid-century styling to bring a pop of color as well as functionality within your space. Welting, along with pin-tucked button tufting and contrasting wood legs, lend a tailored look to this accent seat. The collection is offered in beige, brown, blue, and teal.",1281BUE-2,seating,,,1281BUE-2,125,"Settee Love Seat, Blue Fabric",47 x 28.25 x 33.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maypop Collection,"https://homelegance.com/u/HMLG/20180312/b1ec5b437c2849ff9207ce4af6a35a0d.jpg, https://homelegance.com/u/HMLG/20180312/e1007aec277f4cf4bf52ddbc14685a1c.jpg, https://homelegance.com/u/HMLG/20180312/b5f203dd402d421a8448cbc22dd26ad2.jpg, https://homelegance.com/u/HMLG/20180312/605609ab84054045bb98696efb1a44a4.jpg, https://homelegance.com/u/HMLG/20180312/d75790d236104fd5826e2e8a41e70691.jpg","The retro look of the Maypop Collection is just what you’re looking for, adding a hint of whimsy to your home. This dual seat settee plays on the theme of mid-century styling to bring a pop of color as well as functionality within your space. Welting, along with pin-tucked button tufting and contrasting wood legs, lend a tailored look to this accent seat. The collection is offered in beige, brown, blue, and teal.",1281TEL-2,seating,,,1281TEL-2,125,"Settee Love Seat, Teal Fabric",47 x 28.25 x 33.75H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basseri Collection,"https://homelegance.com/u/HMLG/20180202/4a3fbf17f2674b95a84478ecdd952d6b.jpg, https://homelegance.com/u/HMLG/20180202/43b83fad9672462bbaf456786710041a.jpg, https://homelegance.com/u/HMLG/20180202/22271984807a49ddb448dba3619e8439.jpg, https://homelegance.com/u/HMLG/20180202/979748a88019406cb51d4daa8cd51f04.jpg, https://homelegance.com/u/HMLG/20180202/5d1c543e674b41f7bab70df7739bd6bf.jpg","Created for the ultra-modern home, the Basseri Collection is a sleek accent to your contemporary lifestyle. Chrome legs support the chair with optional brown or dark gray bi-cast vinyl lending to the sleek look.",1294BR-1,seating,,,1294BR-1,135,Accent Chair,32.5 X 31 X 33H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderella Collection,"https://homelegance.com/u/20171106/1386TNC-1_856_l1.jpg, https://homelegance.com/u/HMLG/20180808/7905544980d94642b4e9e088dcf1f5af.jpg","The Cinderella Collection is your little child’s dream. The Victorian styling incorporates floral motif hardware, ecru painted finish and traditional carving details that will create the feeling of a room worth of a fairy tale princess. Offering regular bed, daybed and canopy poster bed in both ecru painted white wash and dark cherry finishes.",1386TNC-1*,youth,,,1386NC-1*,299,Queen Bed,HB: 56H   FB: 27.5H,1386FNC-1*,225,Full Bed,HB: 56H   FB: 27.5H,1386TNC-1*,175,Twin Bed,HB: 56H   FB: 27.5H,1386NC-4,133,Night Stand,24 x 17 x 29H,1386NC-5,277,Dresser,56 x 18 x 33H,1386NC-6,75,Mirror,38 x 2 x 44H,1386NC-9,225,Chest,33 x 18 x 48H,1386NC-7,288,Armoire,35 x 19 x 55H,,,,,,,,,,,,
Cinderella Collection,"https://homelegance.com/u/HMLG/20181129/80418b3c2f3a4e8aab4407c99a581429.jpg, https://homelegance.com/u/HMLG/20181129/ad067d1b99b843d880088e82cca4257c.jpg, https://homelegance.com/u/HMLG/20181129/1e68194e63e74fde81c2f07a07b58898.jpg, https://homelegance.com/u/HMLG/20181129/d5581a7f278f4dfda58ebcd492dafcce.jpg, https://homelegance.com/u/HMLG/20181129/c60391921acf4d7cacdfd5a8b1332625.jpg, https://homelegance.com/u/HMLG/20181129/3e86e552ca064f4c83860e9c1895e38f.jpg, https://homelegance.com/u/HMLG/20181129/611d4a5fe10941c08f902ef9b4fd4f57.jpg, https://homelegance.com/u/HMLG/20181129/e0c4f26b012b4ea69e5b1ce39e0fedea.jpg, https://homelegance.com/u/HMLG/20181129/3ee61d5f4a8f4852b980a0563eabf096.jpg, https://homelegance.com/u/HMLG/20181129/d69fac31180d4962ae5d09f63d90bec5.jpg, https://homelegance.com/u/HMLG/20181129/a1b354d9f9694b49aa15edf352b7edb3.jpg, https://homelegance.com/u/HMLG/20181129/5ba9a0827ef1488292601fe9abf89e41.jpg, https://homelegance.com/u/HMLG/20181129/ea303fd655ae40cc9c1b6631aa2ee4db.jpg, https://homelegance.com/u/HMLG/20181129/7986eefeccd44c07b87375f37f1300ce.jpg, https://homelegance.com/u/HMLG/20181129/60dd7fd5b06e4cb0bf2a6e267da16329.jpg, https://homelegance.com/u/HMLG/20181129/8173901b720e4471852b116da9337080.jpg, https://homelegance.com/u/HMLG/20181129/aba563060f3447599d9720560443c97a.jpg, https://homelegance.com/u/HMLG/20181129/bf440209e4474aadb2d3557deb1503d3.jpg, https://homelegance.com/u/HMLG/20181129/c462a387354b4d589335b4942d9f05a3.jpg, https://homelegance.com/u/HMLG/20181129/c004c4d7d84547129da777a43dfec21d.jpg, https://homelegance.com/u/HMLG/20181129/aa7c4e259c3d4455a56d3083d014b161.jpg, https://homelegance.com/u/HMLG/20181129/04b88fab4ae341b3ace627e3a8f46faa.jpg, https://homelegance.com/u/HMLG/20181129/4def5e7cc5e848a699b3462a1c4bcaa8.jpg, https://homelegance.com/u/HMLG/20181129/93f61aeb2f364ab995ff95d35e1cff48.jpg, https://homelegance.com/u/HMLG/20181129/50b32573ac0b498ab56db64a7f72f8d6.jpg, https://homelegance.com/u/HMLG/20181129/28a59453a0b64414a9961ea0c4ff0026.jpg, https://homelegance.com/u/HMLG/20181129/767ab3818d704cbfaf3d2a1a1a5348d3.jpg, https://homelegance.com/u/HMLG/20181129/b2380993d9ff4d478980d77fb8ed726e.jpg","The Cinderella Collection is your little child’s dream. The Victorian styling incorporates floral motif hardware and traditional carving details that will create the feeling of a room worthy of a fairy tale. There are three available finishes - ecru white, dark cherry and the newly available antique white with grey rub-through – that when paired with the multitude of case pieces and three coordinating beds – daybed, canopy bed and panel bed - allows versatility of placement and decor within your available space.",1386TNW-1*,youth,,,1386NW-1*,299,Queen Bed,HB: 56H FB: 27.5H,1386FNW-1*,225,Full Bed,HB: 56H FB: 27.5H,1386TNW-1*,175,Twin Bed,HB: 56H FB: 27.5H,1386NW-4,133,Night Stand,24 x 17 x 29H,1386NW-5,277,Dresser,56 x 18 x 33H,1386NW-6,75,Mirror,38 x 2 x 44H,1386NW-9,225,Chest,33 x 18 x 48H,1386NW-12,219,7-Drawer Tall Chest,24 x 17 x 56H,,,,,,,,,,,,
Cinderella Collection,"https://homelegance.com/u/HMLG/20181129/115a0aa3666b40b790f0f25670576971.jpg, https://homelegance.com/u/HMLG/20181129/e8a04e97e4264c9697cc362958ea6bfb.jpg, https://homelegance.com/u/HMLG/20181129/e83462357b08451c80007222483d821b.jpg, https://homelegance.com/u/HMLG/20181129/a62532d80f9a420eb3c8c13e30959a18.jpg, https://homelegance.com/u/HMLG/20181129/1099ed15c197452c9300f64bd9ced199.jpg, https://homelegance.com/u/HMLG/20181129/ee362a24514f40ffbec09f9676d40cf3.jpg, https://homelegance.com/u/HMLG/20181129/b56263e05e4f4e74b9d6f081803e3565.jpg, https://homelegance.com/u/HMLG/20181129/60aaa0ab9559411c8e52e0caababd3ed.jpg, https://homelegance.com/u/HMLG/20181129/80b6747e08de41afb6111ea8feb2c952.jpg, https://homelegance.com/u/HMLG/20181129/189f8c9f88f849abb0b46f63bb195a84.jpg, https://homelegance.com/u/HMLG/20181129/e7d830b8c29045288d58cd87ca53837b.jpg, https://homelegance.com/u/HMLG/20181129/c5619081fab34024a1bd4096bb486b93.jpg, https://homelegance.com/u/HMLG/20181129/3786768d0ced42c3a0fcdfde756cfe7d.jpg, https://homelegance.com/u/HMLG/20181129/fb3ed76c3a9145ecb11fbf670488c4d3.jpg, https://homelegance.com/u/HMLG/20181129/00485c5673544b32b93f3f628f01e9ee.jpg, https://homelegance.com/u/HMLG/20181129/a4a9ea06b4984f19a2e2d16d158a8678.jpg, https://homelegance.com/u/HMLG/20181129/4453c575430f49d1be93c7e570e2e34e.jpg, https://homelegance.com/u/HMLG/20181129/e48cd184e2cd42dda33982c0dcea7381.jpg, https://homelegance.com/u/HMLG/20181129/569eb87b0a2b422081469549a3472c0d.jpg, https://homelegance.com/u/HMLG/20181129/0702c0b9f9e1435f93db7581aaac2505.jpg","The Cinderella Collection is your little child’s dream. The Victorian styling incorporates floral motif hardware and traditional carving details that will create the feeling of a room worthy of a fairy tale. There are three available finishes - ecru white, dark cherry and the newly available antique white with grey rub-through – that when paired with the multitude of case pieces and three coordinating beds – daybed, canopy bed and panel bed - allows versatility of placement and decor within your available space.",1386DNW*,youth,,,1386DNW*,225,Daybed,82 x 41 x 56H,1386NW-10,,Writing Desk Hutch,48 x 13 x 34H,1386NW-11,,Writing Desk,50 x 24 x 30H,1386NW-11C,60,Chair,18 x 20 x 38H,1386NW-7,288,Armoire,35 x 19 x 55H,,,,,,,,,,,,,,,,,,,,,,,,
Palace II Collection,"https://homelegance.com/u/20171106/1394N-1_7_l1.jpg, https://homelegance.com/u/20171106/1394N-11_949_l1.jpg","The Palace II Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset bluestone marble tops, the Palace II Collection has it all. These many exquisite details married with a rich weathered white with light rub-through on cherry veneers combine to create an ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. The bonded leather, button-tufted, insert on the headboard is featured in an elegant pearl, providing a trendy take on the Old World feel of this collection.",1394N-1*,bedroom,,"Bedroom Sets, Beds/Headboards",1394KN-1CK*,749,California King Sleigh Bed,HB: 71H FB: 34H,1394KN-1EK*,749,Eastern King Sleigh Bed,HB: 71H FB: 34H,1394N-1*,649,Queen Sleigh Bed,HB: 71H FB: 34H,1394N-4,269,"Night Stand, Marble Top",34 x 21 x 32H,1394N-5,519,"Dresser, Marble Inset",70 x 23 x 41H,1394N-6,113,Mirror,45.25 x 3.75 x 45.25H,1394N-9,399,"Chest, Marble Inset",44 x 21 x 58H,1394N-11,379,"TV Chest, Marble Top",48 x 20 x 43.75H,,,,,,,,,,,,
