name,number,description,category
Orson Collection,1191F1S,"The padded upper back of the Orson Collection is supported bywooden slats that give way to the substantially sized seat of thiswhimsical accent chair. The collection has six available fabric options– blue tonal stripe, black and white swirl, multi-color poppies, purplemedallion, voyage, and gray medallion.",seating
Orson Collection,1191F2S,"",seating
Orson Collection,1191F3S,"The padded upper back of the Orson Collection is supported bywooden slats that give way to the substantially sized seat of thiswhimsical accent chair. The collection has six available fabric options– blue tonal stripe, black and white swirl, multi-color poppies, purplemedallion, voyage, and gray medallion.",seating
Orson Collection,1191F4S,"",seating
Orson Collection,1191F5S,"",seating
Orson Collection,1191F6S,"",seating
Lucille Collection,1192BE,"Retro lines need not stay in the past with the mid-century inspired lines of the Lucille Collection. With fabric offerings that range from neutral to bold – Beige, gray, blue and orange – button-tufted accenting and stylishly appointed legs, this classic accent chair will provide a look that shows your personal style.",seating
Lucille Collection,1192BL,"",seating
Lucille Collection,1192GY,"",seating
Lucille Collection,1192RN,"",seating
Barlowe Collection,1193F1S,"A tasteful accent to any room in your home is the BarloweCollection. The dark cherry finish of the wood legs is a perfect contrastfor either the oatmeal linen or the french note fabric offerings. Newfabric options include: blue, gray, dark teal, chain link print, andpaisley print.",seating
Barlowe Collection,1193F2S,"",seating
Barlowe Collection,1193F3S,"",seating
Barlowe Collection,1193F4S,"A tasteful accent to any room in your home is the BarloweCollection. The dark cherry finish of the wood legs is a perfect contrastfor either the oatmeal linen or the french note fabric offerings. Newfabric options include: blue, gray, dark teal, chain link print, andpaisley print.",seating
Barlowe Collection,1193F5S,"",seating
Barlowe Collection,1193F6S,"",seating
Barlowe Collection,1193F7S,"",seating
Charisma Collection,1194CH,"",seating
Charisma Collection,1194IN,"High polish nailhead accents the profile of the Charisma Collection. This modern traditional accent chair provides a stylish, yet functional addition to your home. The chair is offered in 4 distinct colors: Teal, taupe, indigo and chocolate.",seating
Charisma Collection,1194TL,"",seating
Charisma Collection,1194TP,"",seating
Harmony Collection,1195F1S,A straight back gives way to the delicate slope of the arms in the Harmony Collection. This elegant accent chair is offered in a neutral beige fabric for ultimate flexibility for placement in your home. Low polish nailhead provides stylish contrast and decorative flair.,seating
Devon Collection,1197F1S,"The classic wing-back chair is updated for the modern traditional home in the Devon Collection. The elongated, button-tuft accented chair back gives way to the gentle slope of the low-profile arm while wood legs provide support. The collection is offered in brown or beige fabric coverings for versatile placement in your home.",seating
Devon Collection,1197F2S,"",seating
Moderne Collection,1200BLK,"Drawing inspiration from the timeless look of Art Deco lounges, the Moderne Collection will add a hint of masculine aesthetic to your home’s décor. Hugging the contour of your body, the curved seat and back of the low-profile chair sits atop a swivel base allowing for 360-degree movement. The chair is covered in black or brown bi-cast vinyl with nailhead and roll-tucked back accent.",seating
Moderne Collection,1200BRW,"Drawing inspiration from the timeless look of Art Deco lounges, the Moderne Collection will add a hint of masculine aesthetic to your home’s décor. Hugging the contour of your body, the curved seat and back of the low-profile chair sits atop a swivel base allowing for 360-degree movement. The chair is covered in black or brown bi-cast vinyl with nailhead and roll-tucked back accent.",seating
Langdale Collection,1212F1S,"A tasteful accent to any room in your home is the LangdaleCollection. The tufted fan back serves as the focal point, while darkcherry finish, on the wood legs, makes for a perfect contrast againsteither the oatmeal linen, french note, or gray chevron fabric offerings",seating
Langdale Collection,1212F2S,"",seating
Langdale Collection,1212F4S,"",seating
Nicolo Collection,1216F1S,The classic shape of a wing back chair is modernized and styled to lend an air of sophisticated whimsy to your home is the Nicolo Collection. The bold medallion print features a tonal gray color scheme that blends effortlessly with your modern traditional aesthetic.,seating
Adriano Collection,1217F1S,"Offered in a dark gray woven fabric or light gray herringbone fabric, a textural statement is foremost in the design of the grandly appointed Adriano Collection. Wing-backed, as a nod to traditional form, the chair features nailhead accents and button-tufting which ultimately serve to create the pinnacle in tailored styling.",seating
Adriano Collection,1217F2S,"Offered in a dark gray woven fabric or light gray herringbone fabric, a textural statement is foremost in the design of the grandly appointed Adriano Collection. Wing-backed, as a nod to traditional form, the chair features nailhead accents and button-tufting which ultimately serve to create the pinnacle in tailored styling.",seating
Roweena Collection,1218DG,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Roweena Collection,1218DG-1,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Roweena Collection,1218F1S-1,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Roweena Collection,1218RN,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Roweena Collection,1218RN-1,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Roweena Collection,1218TL,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Roweena Collection,1218TL-1,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",seating
Cagle Collection,1219BU-1,"Transitionally styled for placement in a number of home settings, the Cagle Collection is offered in gray, blue or chocolate fabric with espresso finished legs. The gentle forward slope of the curved arm paired with the ample seat back create a comfortable platform, while the reversible seat cushion provides functional convenience.",seating
Cagle Collection,1219CH-1,"Transitionally styled for placement in a number of home settings, the Cagle Collection is offered in gray, blue or chocolate fabric with espresso finished legs. The gentle forward slope of the curved arm paired with the ample seat back create a comfortable platform, while the reversible seat cushion provides functional convenience.",seating
Cagle Collection,1219GY-1,"Transitionally styled for placement in a number of home settings, the Cagle Collection is offered in gray, blue or chocolate fabric with espresso finished legs. The gentle forward slope of the curved arm paired with the ample seat back create a comfortable platform, while the reversible seat cushion provides functional convenience.",seating
Karlock Collection,1220F1S,"The rounded back of the Karlock Collection gently cradles while nailhead detail and button tufting provide distinct accent to this decorative chair. Wood legs provide contrast to the brownish gray, red or teal fabric covering.",seating
Karlock Collection,1220F2S,"The rounded back of the Karlock Collection gently cradles while nailhead detail and button tufting provide distinct accent to this decorative chair. Wood legs provide contrast to the brownish gray, red or teal fabric covering.",seating
Karlock Collection,1220F3S,"The rounded back of the Karlock Collection gently cradles while nailhead detail and button tufting provide distinct accent to this decorative chair. Wood legs provide contrast to the brownish gray, red or teal fabric covering.",seating
Oreboro Collection,1221-1,"The classic look of the Oreboro Collection is created with tailored styling, decorative accent and functionality. The swivel base turns this elegant seating offering allowing for ease of conversation or convenience of placement. Beige fabric provides a neutral slate within your home’s décor while nailhead accent lends a sophisticated decorative touch.",seating
Roper Collection,1224F1S,"Muted decorative flair comes in the form of the Roper Collection. Providing distinct accent to your home's d閏or, this stylish accent chair features an ikat-inspired print in tonal gray for flexibility of placement. The chair is also offered in a gray and beige medallion print and a muted dusky-hued ikat-inspired print with soft yellow accent.",seating
Roper Collection,1224F2S,"Muted decorative flair comes in the form of the Roper Collection. Providing distinct accent to your home's d閏or, this stylish accent chair features an ikat-inspired print in tonal gray for flexibility of placement. The chair is also offered in a gray and beige medallion print and a muted dusky-hued ikat-inspired print with soft yellow accent.",seating
Roper Collection,1224F4S,"Muted decorative flair comes in the form of the Roper Collection. Providing distinct accent to your home's d閏or, this stylish accent chair features an ikat-inspired print in tonal gray for flexibility of placement. The chair is also offered in a gray and beige medallion print and a muted dusky-hued ikat-inspired print with soft yellow accent.",seating
