number,description,dimensions,product_number
1191F1S,Accent Chair,26 x 23 x 30H,1191F1S
1191F2S,Accent Chair,26 x 23 x 30H,1191F2S
1191F3S,Accent Chair,26 x 23 x 30H,1191F3S
1191F4S,Accent Chair,26 x 23 x 30H,1191F4S
1191F5S,Accent Chair,26 x 23 x 30H,1191F5S
1191F6S,Accent Chair,26 x 23 x 30H,1191F6S
1192BE,"Accent Chair, Beige",31 x 30.5 x 31.5H,1192BE
1192BL,"Accent Chair, Blue",31 x 30.5 x 31.5H,1192BL
1192GY,"Accent Chair, Gray",31 x 30.5 x 31.5H,1192GY
1192RN,"Accent Chair, Orange",31 x 30.5 x 31.5H,1192RN
1193F1S,Accent Chair,31.5 x 30.75 x 32.75H,1193F1S
1193F2S,Accent Chair,31.5 x 30.75 x 32.75H,1193F2S
1193F3S,Accent Chair,31.5 x 30.75 x 32.75H,1193F3S
1193F4S,Accent Chair,31.5 x 30.75 x 32.75H,1193F4S
1193F5S,Accent Chair,31.5 x 30.75 x 32.75H,1193F5S
1193F6S,Accent Chair,31.5 x 30.75 x 32.75H,1193F6S
1193F7S,Accent Chair,31.5 x 30.75 x 32.75H,1193F7S
1194CH,"Accent Chair, Chocolate",28 x 30.25 x 34.75H,1194CH
1194IN,"Accent Chair, Indigo",28 x 30.25 x 34.75H,1194IN
1194TL,"Accent Chair, Teal",28 x 30.25 x 34.75H,1194TL
1194TP,"Accent Chair, Taupe",28 x 30.25 x 34.75H,1194TP
1195F1S,Accent Chair,29.5 x 31.5 x 37.5H,1195F1S
1200BLK,Swivel Chair,29.5 x 32.5 x 30H,1200BLK
1200BRW,Swivel Chair,29.5 x 32.5 x 30H,1200BRW
1212F1S,Accent Chair,31.5 x 30.75 x 32.75H,1212F1S
1212F2S,Accent Chair,31.5 x 30.75 x 32.75H,1212F2S
1212F4S,Accent Chair,31.5 x 30.75 x 32.75H,1212F4S
1217F1S,Accent Chair with 1 Kidney Pillow,31.5 x 34 x 44.25H,1217F1S
1217F2S,Accent Chair with 1 Kidney Pillow,31.5 x 34 x 44.25H,1217F2S
1218DG-3,Sofa,74 x 33 x 32.5H,1218DG
1218DG-2,Love Seat,52.5 x 33 x 32.5H,1218DG
1218DG-1,Accent Chair,30.25 x 33 x 32.5H,1218DG
1218DG-1,Accent Chair,30.25 x 33 x 32.5H,1218DG-1
1218F1S-3,Sofa,74 x 33 x 32.5H,1218F1S-1
1218F1S-2,Love Seat,52.5 x 33 x 32.5H,1218F1S-1
1218F1S,Accent Chair,30.25 x 33 x 32.5H,1218F1S-1
1218RN-3,Sofa,74 x 33 x 32.5H,1218RN
1218RN-2,Love Seat,52.5 x 33 x 32.5H,1218RN
1218RN-1,Accent Chair,30.25 x 33 x 32.5H,1218RN
1218RN-1,Accent Chair,30.25 x 33 x 32.5H,1218RN-1
1218TL-3,Sofa,74 x 33 x 32.5H,1218TL
1218TL-2,Love Seat,52.5 x 33 x 32.5H,1218TL
1218TL-1,Accent Chair,30.25 x 33 x 32.5H,1218TL
