name,number,description,category
Glamour Collection,1349T-1*,The beauty of the Glamour Collection lies in the simple lines and style for your adult or youth bedroom. The panel headboard and footboard feature a grid pattern to give your bedroom suite an added touch of character. Select hardwoods and veneers in warm cherry finish with bold hardware accent give the Glamour Collection a desired look to your home decor.,youth
Morelle Collection,1356PRBK-1*,"",youth
Morelle Collection,1356TBK-1*,"",youth
Morelle Collection,1356TC-1*,The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly added cherry finish offers an additional option to the classic black and white finishes that are currently available.,youth
Morelle Collection,1356TPRW-1*,"",youth
Morelle Collection,1356TW-1*,The warmth of cottage living is invoked by the classic styling of the adult and youth Morelle Collection. The low post bed features picture framing and round finials with the case pieces featuring molded drawer fronts and knob hardware. The newly offered cherry finish offers an additional option to the classic black and white finishes that are currently available.,youth
Cinderella Collection,1386D-1*,"",youth
Cinderella Collection,1386DNC-1*,"",youth
Cinderella Collection,1386T-1*,"The Cinderella Collection is your little child’s dream. The Victorian styling incorporates floral motif hardware, ecru painted finish and traditional carving details that will create the feeling of a room worth of a fairy tale princess. Offering regular bed, daybed and canopy poster bed in both ecru painted white wash and dark cherry finishes.",youth
Cinderella Collection,1386TNC-1*,"",youth
Cinderella Collection,1386TPP-1*,"",youth
Cinderella Collection,1386TPPNC-1*,"",youth
Odelia Collection,1708T-1*,"Making a statement to the glamorous nature of your personal design aesthetic is the Odelia Collection. The striking silver finish of the collection serves to highlight the decorative accents that reign the design – crocodile embossed drawer fronts with polished nickel hardware, mirrored top drawer fronts with their faceted knob hardware and crystal-embellished button-tufted pearl bi-cast vinyl inserts on the headboard and foot board. The available twin, full, queen, Eastern King and California King bed options allow for perfect placement in your bedroom space.",youth
Odelia Collection,1708TBK-1*,"Odelia Collection makes a statement to the glamorous nature of your personal design aesthetic. The striking black finish of the collection serves to highlight the decorative accents that reign the design – crocodile embossed drawer fronts with polished nickel hardware, mirrored top drawer fronts with their faceted knob hardware and crystal-embellished button-tufted pearl bi-cast vinyl inserts on the headboard and footboard. The available Twin, Full, Queen, Eastern King and California King Bed options allow for perfect placement in your bedroom space. The collection is also offered in a silver finish",youth
Hosta Collection,1758T-1,"Inspired by vintage design, ball finials top the canopy frame while prominent decorative jointing and classic quatrefoil pattern lend to the modern traditional look of the Hosta Collection. The built-in platform support allows for the use of a mattress without a box spring. The Hosta collection is offered in twin and queen size bed options for versatile placement within your home.",youth
Rapa Collection,1759T-1,"Double x-framing provides distinct decorative accenting to the headboard and footboard of the Rapa Collection. Unadorned canopy framing creates a clean and sophisticated look, with medallion accents lending to the modern traditional feel of the Rapa Collection’s design. The built-in platform support allows for the use of a mattress without a box spring. The Rapa collection is offered in twin and queen size bed options for versatile placement within your home.",youth
Chelone Collection,1761T-1,"Styled for the modern traditional home, ball finials top the canopy frame with prominent decorative jointing providing eye-catching accent to the modern traditional look of the Chelone Collection. The built-in platform support allows the use of a mattress without a box spring. The Chelone collection is offered in twin and queen size bed options for versatile placement within your home.",youth
Bernal Heights Collection,1810T-1*,"With hints of modern, industrial and country styling and nod to trend driven design, the Bernal Heights Collection will be a stylish addition to your youth and adult bedrooms. Cup pull hardware is featured prominently on each case piece while nailhead accents serve to enhance the neutral toned fabric headboard. A dark walnut finish rounds out the look of the Bernal Heights Collection.",youth
Abbeville Collection,1856,"The ever popular Louis Philippe style is updated with functional accoutrements and a glamorous touch in the Abbeville Collection. Button and bale hardware grace the drawer fronts of each piece in the collection, while unbeknownst to the casual observer, there is hidden drawer storage in the nightstand, dresser and chest – each easily accessible with a pull of the front top frame. The sleigh bed furthers the timeless look of this collection. Okume veneers are elegantly highlighted with a subtle gold finish. The collection is offered in a variety of bed sizes to fit perfectly in your space. Also available in a warm cherry finish.",youth
Abbeville Collection,1856T-1*,"The ever popular Louis Philippe style is updated with functional accoutrements in the Abbeville Collection. Button and bale hardware grace the drawer fronts of each piece in the collection, while unbeknownst to the casual observer, there is hidden drawer storage on the nightstand, dresser and chest – each easily accessible with a pull of the front top frame. The sleigh bed furthers the timeless look of this adult collection, as well as youth. Okume veneers are elegantly highlighted with a traditional brown cherry finish.",youth
Beechnut Collection,1904T-1*,"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the light finish of the embossed, faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",youth
Beechnut Collection,1904TGY-1*,"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the two available finish options of the collection – gray or natural – both enhancing the embossed faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",youth
Vestavia Collection,1936T-1*,"The contemporary styling of the Vestavia Collection provides a unique platform from which to redecorate your bedroom. Faux wood printed veneer provides subtle texture and a gray finish as perfect contrast to the dark brown finish of the base rails of the case pieces and back panels of the headboard and footboard. Clean lines lend to the angular modern look and are enhanced by the horizontal brushed nickel hardware. Offered in both adult and youth beds, this collection provides great flexibility to your rooms at home.",youth
Lonan Collection,1955T-1*,"With a hint of weathering so popular in industrial styling, the Lonan Collection will fit into the rustic contemporary aesthetic that you look to achieve in your bedroom. Melamine laminate mimics the look of sun-bleached wood with a darker underhue providing subtle contrast to the design of the group, with dark finished metal handles providing additional contrast. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",youth
Aviana Collection,1977T-1*,"Created for the traditional bedroom, the Aviana Collection is a study in classic styling and modern presentation. An antiqued gray finish provides an open canvas for your personal decorative touch. Carved feet support classically styled case goods – each featuring teardrop hardware with an antiqued pewter finish. Raised panels further the traditional look of the case piece drawer fronts. The collection is offered in twin, full, queen, eastern king and california king for perfect placement in your home.",youth
Averny Collection,2020TBK,"With a look that is a perfect complement to a number of room decors, the Averny Collection will provide the additional sleep space you need for your home. The headboard and footboard are supported by a metal slat system that requires that a mattress only is needed to complete the bed. Ball finials and a black &amp; brown two-tone finish complete the look of the bed.",youth
Pallina Collection,2021TW-1,"Perfectly at home in a child’s or second bedroom, the Pallina Collection will be a stylish addition to your home. Crafted of metal in white powder coating, with refined design that decorates the headboard and footboard, this elegant bed will pair with a number of room styles. With twin or full option to fit your needs, the metal slat system requires that a mattress only is needed to complete the bed.",youth
Potrero Collection,2024-1HB,"Versatile placement options, while utilizing minimum space makes the Potrero Collection the right choice for your home. Three styles, each offered in a single cover are available: Gray fabric with vertical channel seaming, black bi-cast vinyl with X-stitch pattern and brown fabric with square pattern.",youth
