number,description,dimensions,product_number
1313K-1CK*,California King Sleigh Platform Bed,HB: 53H FB: 17H,1313-1*
1313K-1EK*,Eastern King Sleigh Platform Bed,HB: 53H FB: 17H,1313-1*
1313-1*,Queen Sleigh Platform Bed,HB: 53H FB: 17H,1313-1*
1313-4,Night Stand,27 x 17 x 27H,1313-1*
1313-5,Dresser,62 x 17.5 x 35H,1313-1*
1313-6,Mirror,40 x 1 x 41H,1313-1*
1313-9,Chest,38 x 17 x 52H,1313-1*
1313-11,TV Chest,42 x 17 x 40H,1313-1*
1349K-1CK*,California King Bed,HB: 54.25H   FB: 27H,1349-1*
1349K-1EK*,Eastern King Bed,HB: 54.25H   FB: 27H,1349-1*
1349-1*,Queen Bed,HB: 54.25H   FB: 27H,1349-1*
1349F-1*,Full Bed,HB: 54.25H   FB: 27H,1349-1*
1349T-1*,Twin Bed,HB: 54.25H   FB: 27H,1349-1*
1349-4,Night Stand,24 x 18 x 26H,1349-1*
1349-5,Dresser,54 x 18 x 40H,1349-1*
1349-6,Mirror,39 x 2 x 33H,1349-1*
1349-9,Chest,33 x 18 x 52H,1349-1*
1356KBK-1CK*,California King,HB: 54.25H FB: 16H,1356BK-1*
1356KBK-1EK*,Eastern King,HB: 54.25H FB: 16H,1356BK-1*
1356BK-1*,Queen Bed,HB: 54.25H FB: 16H,1356BK-1*
1356FBK-1*,Full Bed,HB: 54.25H FB: 16H,1356BK-1*
1356TBK-1*,Twin Bed,HB: 54.25H FB: 16H,1356BK-1*
1356BK-4,Night Stand,24 x 16 x 23.75H,1356BK-1*
1356BK-5,Dresser,54.25 x 19 x 33H,1356BK-1*
1356BK-6,Mirror,39 x 2.5 x 35H,1356BK-1*
1356BK-9,Chest,32 x 19 x 48H,1356BK-1*
1356KC-1CK*,California King,HB: 54.25H FB: 16H,1356C-1*
1356KC-1EK*,Eastern King,HB: 54.25H FB: 16H,1356C-1*
1356C-1*,Queen Bed,HB: 54.25H FB: 16H,1356C-1*
1356FC-1*,Full Bed,HB: 54.25H FB: 16H,1356C-1*
1356TC-1*,Twin Bed,HB: 54.25H FB: 16H,1356C-1*
1356C-4,Night Stand,24 x 16 x 23.75H,1356C-1*
1356C-5,Dresser,54.25 x 19 x 33H,1356C-1*
1356C-6,Mirror,39 x 2.5 x 35H,1356C-1*
1356C-9,Chest,32 x 19 x 48H,1356C-1*
1356TW-1*,Twin Bed,HB: 54.25H FB: 16H,1356W-1*
1356W-4,Night Stand,24 x 16 x 23.75H,1356W-1*
1356KW-1CK*,California King,HB: 54.25H FB: 16H,1356W-1*
1356KW-1EK*,Eastern King,HB: 54.25H FB: 16H,1356W-1*
1356W-1*,Queen Bed,HB: 54.25H FB: 16H,1356W-1*
1356FW-1*,Full Bed,HB: 54.25H FB: 16H,1356W-1*
1356W-5,Dresser,54.25 x 19 x 33H,1356W-1*
1356W-6,Mirror,39 x 2.5 x 35H,1356W-1*
1356W-9,Chest,32 x 19 x 48H,1356W-1*
1385K-1CK*,California King Bed,HB: 60H FB: 36H,1385-1*
1385K-1EK*,Eastern King Bed,HB: 60H FB: 36H,1385-1*
1385-1*,Queen Bed,HB: 60H FB: 36H,1385-1*
1385-4,Night Stand,28 x 18 x 28.5H,1385-1*
1385-5,Dresser,66 x 19 x 38.5H,1385-1*
1385-6,Mirror,42 x 1.5 x 40H,1385-1*
1385-9,Chest,38 x 18 x 55H,1385-1*
1385-7*,Armoire,43 x 22 x 72H,1385-1*
1385-11,TV Chest,42.75 x 19 x 42H,1385-1*
1390K-1CK*,California King Poster Bed,HB: 88H FB: 68H,1390-1*
1390K-1EK*,Eastern King Poster Bed,HB: 88H FB: 68H,1390-1*
1390-1*,Queen Poster Bed,HB: 88H FB: 68H,1390-1*
1390LPK-1CK*,California King Low Profile Bed,HB: 68H FB: 17H,1390-1*
1390LPK-1EK*,Eastern King Low Profile Bed,HB: 68H FB: 17H,1390-1*
1390LP-1*,Queen Low Profile Bed,HB: 68H FB: 17H,1390-1*
1390-4,Night Stand,33.5 x 18.5 x 32H,1390-1*
1390-5,Dresser,69.5 x 20 x 37H,1390-1*
1390-6,Mirror,48 x 2.5 x 49H,1390-1*
1390-9,Chest,44 x 19.5 x 57H,1390-1*
1390-7*,Armoire,50.25 x 24 x 86H,1390-1*
1394K-1CK*,California King Sleigh Bed,HB: 71H FB: 34H,1394-1*
